wl	n
0.06358	1.20846
0.06525	1.20004
0.06702	1.19493
0.06888	1.19073
0.07085	1.18399
0.07293	1.17740
0.07514	1.16958
0.07749	1.15865
0.07999	1.14630
0.08266	1.13509
0.08551	1.12510
0.08856	1.11530
0.09184	1.10417
0.09537	1.09246
0.09919	1.07841
0.10332	1.06391
0.10781	1.05005
0.11271	1.03950
0.11480	1.03857
0.11697	1.04130
0.11922	1.04545
0.12155	1.05405
0.12398	1.06152
0.12651	1.06094
0.12915	1.04397
0.13190	1.00864
0.13477	0.98779
0.13776	0.97457
0.14089	0.96496
0.14417	0.95609
0.14760	0.95275
0.15120	0.95194
0.15498	0.94600
0.15895	0.92904
0.16314	0.89270
0.16755	0.81658
0.17220	0.71715
0.17712	0.58506
0.17969	0.50958
0.18233	0.45880
0.18505	0.43760
0.18785	0.43614
0.19074	0.42769
0.19373	0.41230
0.19680	0.39938
0.19997	0.38978
0.20664	0.38613
0.21377	0.38584
0.22140	0.38658
0.22960	0.39348
0.23843	0.40109
0.24797	0.41398
0.25830	0.43087
0.26953	0.45157
0.28178	0.47636
0.29520	0.50656
0.30996	0.54187
0.32627	0.58934
0.34440	0.64425
0.36466	0.71303
0.38745	0.79824
0.41328	0.89800
0.44280	1.02698
0.47686	1.18600
0.51660	1.38332
0.56356	1.62088
0.61992	1.90988
0.68880	2.28417
0.77490	2.74611
0.88560	3.32380
1.03320	4.05007
1.23984	4.96140
1.54980	6.08732
2.06640	7.57453
3.09960	9.74110
6.19921	13.9816

wl	k
0.06358	0.36385
0.06525	0.36620
0.06702	0.36722
0.06888	0.36721
0.07085	0.36584
0.07293	0.36644
0.07514	0.36731
0.07749	0.36806
0.07999	0.37416
0.08266	0.38266
0.08551	0.39352
0.08856	0.40361
0.09184	0.41615
0.09537	0.42949
0.09919	0.44505
0.10332	0.46691
0.10781	0.49093
0.11271	0.52333
0.11480	0.53631
0.11697	0.55027
0.11922	0.56148
0.12155	0.56923
0.12398	0.56711
0.12651	0.55658
0.12915	0.54072
0.13190	0.54777
0.13477	0.56844
0.13776	0.58846
0.14089	0.60676
0.14417	0.62442
0.14760	0.63815
0.15120	0.64552
0.15498	0.63900
0.15895	0.62323
0.16314	0.59650
0.16755	0.57385
0.17220	0.58405
0.17712	0.61668
0.17969	0.67614
0.18233	0.75545
0.18505	0.83582
0.18785	0.89823
0.19074	0.94927
0.19373	1.00194
0.19680	1.05826
0.19997	1.11845
0.20664	1.23211
0.21377	1.34122
0.22140	1.45377
0.22960	1.56934
0.23843	1.68667
0.24797	1.80565
0.25830	1.92864
0.26953	2.05838
0.28178	2.19475
0.29520	2.34128
0.30996	2.50152
0.32627	2.66483
0.34440	2.85991
0.36466	3.07350
0.38745	3.29351
0.41328	3.53785
0.44280	3.80193
0.47686	4.08981
0.51660	4.40608
0.56356	4.75050
0.61992	5.14953
0.68880	5.58189
0.77490	6.05402
0.88560	6.55726
1.03320	7.08259
1.23984	7.64300
1.54980	8.31237
2.06640	9.19529
3.09960	10.6456
6.19921	14.2652
